MatchId, BotType, Result, TimeMs, TotalClicks
393, ? , DEFEAT, 0, 7
394, ? , DEFEAT, 0, 2
395, ? , DEFEAT, 0, 2
396, ? , DEFEAT, 0, 4
397, ? , DEFEAT, 0, 2
398, ? , DEFEAT, 0, 10
399, ? , DEFEAT, 0, 4
400, ? , DEFEAT, 0, 5
401, ? , DEFEAT, 0, 4
402, ? , DEFEAT, 0, 2
403, ? , DEFEAT, 0, 3
404, ? , DEFEAT, 0, 4
405, ? , DEFEAT, 0, 3
406, ? , DEFEAT, 0, 3
407, ? , DEFEAT, 0, 5
408, ? , DEFEAT, 0, 3
409, ? , DEFEAT, 0, 9
410, ? , DEFEAT, 0, 3
411, ? , DEFEAT, 0, 2
412, ? , DEFEAT, 0, 1
413, ? , DEFEAT, 1, 3
414, ? , DEFEAT, 0, 4
415, ? , DEFEAT, 0, 3
416, ? , DEFEAT, 0, 2
417, ? , DEFEAT, 0, 4
418, ? , DEFEAT, 0, 4
419, ? , DEFEAT, 0, 5
420, ? , DEFEAT, 0, 3
421, ? , DEFEAT, 0, 4
422, ? , DEFEAT, 0, 3
423, ? , DEFEAT, 0, 9
424, ? , DEFEAT, 0, 4
425, ? , DEFEAT, 0, 5
426, ? , DEFEAT, 0, 4
427, ? , DEFEAT, 0, 4
428, ? , DEFEAT, 0, 2
429, ? , DEFEAT, 0, 4
430, ? , DEFEAT, 0, 4
431, ? , DEFEAT, 0, 2
432, ? , DEFEAT, 0, 4
433, ? , DEFEAT, 0, 4
434, ? , DEFEAT, 0, 3
435, ? , DEFEAT, 0, 4
436, ? , DEFEAT, 0, 9
437, ? , DEFEAT, 0, 5
438, ? , DEFEAT, 0, 1
439, ? , DEFEAT, 0, 2
440, ? , DEFEAT, 0, 6
441, ? , DEFEAT, 0, 5
442, ? , DEFEAT, 0, 1
443, ? , DEFEAT, 0, 4
444, ? , DEFEAT, 0, 4
445, ? , DEFEAT, 0, 5
446, ? , DEFEAT, 0, 5
447, ? , DEFEAT, 0, 4
448, ? , DEFEAT, 0, 5
449, ? , DEFEAT, 0, 9
450, ? , DEFEAT, 0, 3
451, ? , DEFEAT, 0, 4
452, ? , DEFEAT, 0, 5
453, ? , DEFEAT, 0, 3
454, ? , DEFEAT, 0, 6
455, ? , DEFEAT, 0, 3
456, ? , DEFEAT, 0, 6
457, ? , DEFEAT, 0, 1
458, ? , DEFEAT, 0, 1
459, ? , DEFEAT, 0, 2
460, ? , DEFEAT, 0, 11
461, ? , DEFEAT, 0, 3
462, ? , DEFEAT, 0, 2
463, ? , DEFEAT, 0, 8
464, ? , DEFEAT, 0, 6
465, ? , DEFEAT, 0, 4
466, ? , DEFEAT, 0, 3
467, ? , DEFEAT, 1, 5
468, ? , DEFEAT, 0, 8
469, ? , DEFEAT, 0, 2
470, ? , DEFEAT, 0, 2
471, ? , DEFEAT, 0, 2
472, ? , DEFEAT, 0, 1
473, ? , DEFEAT, 0, 3
474, ? , DEFEAT, 0, 4
475, ? , DEFEAT, 0, 9
476, ? , DEFEAT, 0, 7
477, ? , DEFEAT, 0, 3
478, ? , VICTORY, 0, 4
479, ? , DEFEAT, 0, 3
480, ? , DEFEAT, 0, 4
481, ? , DEFEAT, 0, 4
482, ? , DEFEAT, 0, 3
483, ? , DEFEAT, 0, 2
484, ? , DEFEAT, 0, 2
485, ? , DEFEAT, 0, 2
486, ? , DEFEAT, 0, 5
487, ? , DEFEAT, 0, 4
488, ? , DEFEAT, 0, 2
489, ? , DEFEAT, 0, 1
490, ? , DEFEAT, 0, 4
491, ? , DEFEAT, 0, 5
492, ? , DEFEAT, 0, 3
493, ? , DEFEAT, 0, 4
494, ? , DEFEAT, 0, 5
495, ? , DEFEAT, 0, 2
496, ? , DEFEAT, 0, 5
497, ? , DEFEAT, 0, 8
498, ? , DEFEAT, 0, 8
499, ? , DEFEAT, 0, 5
500, ? , DEFEAT, 0, 2
501, ? , DEFEAT, 0, 2
502, ? , DEFEAT, 0, 4
503, ? , DEFEAT, 0, 6
504, ? , DEFEAT, 0, 3
505, ? , DEFEAT, 0, 2
506, ? , DEFEAT, 0, 2
507, ? , DEFEAT, 0, 4
508, ? , DEFEAT, 0, 6
509, ? , DEFEAT, 0, 1
